text,tactic
"extra window memory injection adversaries may inject malicious code into process via extra window memory ewm in order to evade process based defenses as well as possibly elevate privileges ewm injection is a method of executing arbitrary code in the address space of a separate live process before creating a window, graphical windows based processes must prescribe to or register a windows class, which stipulate appearance and behavior via windows procedures, which are functions that handle input output of data citation: microsoft window classes registration of new windows classes can include a request for up to 40 windows",defense-evasion+privilege-escalation
"scheduled task adversaries may abuse the windows task scheduler to perform task scheduling for initial or recurring execution of malicious code there are multiple ways to access the task scheduler in windows the schtasks utility can be run directly on the command line, or the task scheduler can be opened through the gui within the administrator tools section of the control panel citation: stack overflow in some cases, adversaries have used a net wrapper for the windows task scheduler, and alternatively, adversaries have used the windows netapi32 library and wi windows",execution+persistence+privilege-escalation
"socket filters adversaries may attach filters to a network socket to monitor then activate backdoors used for persistence or command and control with elevated permissions, adversaries can use features such as the library to open sockets and install filters to allow or disallow certain types of data to come through the socket the filter may apply to all traffic passing through the specified network interface or every interface if not specified when the network interface receives a packet matching the filter criteria, additional actions can be triggered on the host, such as activation of a rever linux macos windows",command-and-control+defense-evasion+persistence
"archive via utility adversaries may use utilities to compress and or encrypt collected data prior to exfiltration many utilities include functionalities to compress, encrypt, or otherwise package data into a format that is easier more secure to transport adversaries may abuse various utilities to compress or encrypt data before exfiltration some third party utilities may be preinstalled, such as <code>tar< code> on linux and macos or <code>zip< code> on windows systems on windows, <code>diantz< code> or <code> makecab< code> may be used to package collected files into a cabinet cab file <code>diantz< c linux macos windows",collection
"vnc adversaries may use valid accounts to remotely control machines using virtual network computing vnc vnc is a platform independent desktop sharing system that uses the rfb “remote framebuffer” protocol to enable users to remotely control another computer’s display by relaying the screen, mouse, and keyboard inputs over the network citation: the remote framebuffer protocol vnc differs from remote desktop protocol as vnc is screen sharing software rather than resource sharing software by defaul linux windows macos",lateral-movement
"windows management instrumentation adversaries may abuse windows management instrumentation wmi to execute malicious commands and payloads wmi is designed for programmers and is the infrastructure for management data and operations on windows systems citation: wmi 1 3 wmi is an administration feature that provides a uniform environment to access windows system components the wmi service enables both local and remote access, though the latter is facilitated by remote services such as distributed component object model and window windows",execution
"exploitation for defense impairment adversaries may exploit vulnerabilities in security software, infrastructure, or defensive components to degrade, disable, or otherwise continue to impair their ability to prevent, detect, or respond to malicious activity adversaries may exploit a system or application vulnerability to directly interfere with defensive mechanisms exploitation occurs when an adversary takes advantage of a programming error in software, services, or the operating system to execute adversary controlled code, often with the goal of weakening or disabling protections vulnerabilities may exist in security to iaas linux macos saas windows",defense-evasion
"screen capture adversaries may attempt to take screen captures of the desktop to gather information over the course of an operation screen capturing functionality may be included as a feature of a remote access tool used in post compromise operations taking a screenshot is also typically possible through native utilities or api calls, such as <code>copyfromscreen< code>, <code>xwd< code>, or <code>screencapture< code> citation: copyfromscreen net citation: antiquated mac malware linux macos windows",collection
"fileless storage adversaries may store data in ""fileless"" formats to conceal malicious activity from defenses fileless storage can be broadly defined as any format other than a file common examples of non volatile fileless storage in windows systems include the windows registry, event logs, or wmi repository citation: microsoft fileless citation: securelist fileless shared memory directories on linux systems , , , and and volatile directories on network devices and may also be considered fileless storage, as files written to these directorie linux windows",defense-evasion
"boot or logon initialization scripts adversaries may use scripts automatically executed at boot or logon initialization to establish persistence citation: mandiant apt29 eye spy email nov 22 citation: anomali rocke march 2019 initialization scripts can be used to perform administrative functions, which may often execute other programs or send information to an internal logging server these scripts can vary based on operating system and whether applied locally or remotely adversaries may use these scripts to maintain persistence on a single system depending on the access configuration of the logon scripts, either local cr esxi linux macos network devices windows",persistence+privilege-escalation
"adversary in the middle adversaries may attempt to position themselves between two or more networked devices using an adversary in the middle aitm technique to support follow on behaviors such as network sniffing transmitted data manipulation or replay attacks exploitation for credential access by abusing features of common networking protocols that can determine the flow of network traffic e g arp, dns, llmnr, etc , adversaries may force a device to communicate through linux macos network devices windows",collection+credential-access
"system owner user discovery adversaries may attempt to identify the primary user, currently logged in user, set of users that commonly uses a system, or whether a user is actively using the system they may do this, for example, by retrieving account usernames or by using os credential dumping the information may be collected in a number of different ways using other discovery techniques, because user and username details are prevalent throughout a system and include running process ownership, file directory ownership, session information, and system logs adversaries may use linux macos network devices windows",discovery
"acquire infrastructure adversaries may buy, lease, rent, or obtain infrastructure that can be used during targeting a wide variety of infrastructure exists for hosting and orchestrating adversary operations infrastructure solutions include physical or cloud servers, domains, and third party web services citation: trendmicrohideoutslease some infrastructure providers offer free trial periods, enabling infrastructure acquisition at limited to no cost citation: free trial purpleurchin additionally, botnets are available for rent or purchase use of these infrastructure solutions allows adversaries to stage, laun pre",resource-development
"rundll32 adversaries may abuse rundll32 exe to proxy execution of malicious code using rundll32 exe, vice executing directly i e shared modules may avoid triggering security tools that may not monitor execution of the rundll32 exe process because of allowlists or false positives from normal operations rundll32 exe is commonly associated with executing dll payloads ex: <code>rundll32 exe {dllname, dllfunction}< code> rundll32 exe can also be used to execute control panel item files cpl through the windows",defense-evasion
"container and resource discovery adversaries may attempt to discover containers and other resources that are available within a containers environment other resources may include images, deployments, pods, nodes, and other information such as the status of a cluster these resources can be viewed within web applications such as the kubernetes dashboard or can be queried via the docker and kubernetes apis citation: docker api citation: kubernetes api in docker, logs may leak information about the environment, such as the environment’s configuration, which services are available, and what cloud provider the victim may be u containers",discovery
"serverless adversaries may purchase and configure serverless cloud infrastructure, such as cloudflare workers, aws lambda functions, or google apps scripts, that can be used during targeting by utilizing serverless infrastructure, adversaries can make it more difficult to attribute infrastructure used during operations back to them once acquired, the serverless runtime environment can be leveraged to either respond directly to infected machines or to proxy traffic to an adversary owned command and control server citation: blackwater malware cloudflare work pre",resource-development
"standard encoding adversaries may encode data with a standard data encoding system to make the content of command and control traffic more difficult to detect command and control c2 information can be encoded using a standard data encoding system that adheres to existing protocol specifications common data encoding schemes include ascii, unicode, hexadecimal, base64, and mime citation: wikipedia binary to text encoding citation: wikipedia character encoding some data encoding systems may also result in data compression, such as gzip esxi linux macos windows",command-and-control
"embedded payloads adversaries may embed payloads within other files to conceal malicious content from defenses otherwise seemingly benign files such as scripts and executables may be abused to carry and obfuscate malicious payloads and content in some cases, embedded payloads may also enable adversaries to subvert trust controls by not impacting execution controls such as digital signatures and notarization tickets citation: sentinel labs adversaries may embed payloads in various file formats to hide payloads citation: microsoft learn this is similar to st linux macos windows",defense-evasion
"pluggable authentication modules adversaries may modify pluggable authentication modules pam to access user credentials or enable otherwise unwarranted access to accounts pam is a modular system of configuration files, libraries, and executable files which guide authentication for many services the most common authentication module is <code>pam unix so< code>, which retrieves, sets, and verifies account authentication information in <code> etc passwd< code> and <code> etc shadow< code> citation: apple pam citation: man pam unix citation: red hat pam adversaries may modify components of the pam system to create backdo linux macos",credential-access+defense-evasion+persistence
"revert cloud instance an adversary may revert changes made to a cloud instance after they have performed malicious activities in attempt to evade detection and remove evidence of their presence in highly virtualized environments, such as cloud based infrastructure, this may be accomplished by restoring virtual machine vm or data storage snapshots through the cloud management dashboard or cloud apis another variation of this technique is to utilize temporary storage attached to the compute instance most cloud providers provide various types of storage including persistent, local, and or ephemeral, with the eph iaas",defense-evasion
"gather victim host information adversaries may gather information about the victim's hosts that can be used during targeting information about hosts may include a variety of details, including administrative data ex: name, assigned ip, functionality, etc as well as specifics regarding its configuration ex: operating system, language, etc adversaries may gather this information in various ways, such as direct collection actions via active scanning or phishing for information adversaries may also compromise sites then include m pre",reconnaissance
"digital certificates adversaries may search public digital certificate data for information about victims that can be used during targeting digital certificates are issued by a certificate authority ca in order to cryptographically verify the origin of signed content these certificates, such as those used for encrypted web traffic https ssl tls communications , contain information about the registered organization such as name and location adversaries may search digital certificate data to gather actionable information threat actors can use online resources and lookup tools to harvest information about cer pre",reconnaissance
"keylogging adversaries may log user keystrokes to intercept credentials as the user types them keylogging is likely to be used to acquire credentials for new access opportunities when os credential dumping efforts are not effective, and may require an adversary to intercept keystrokes on a system for a substantial period of time before credentials can be successfully captured in order to increase the likelihood of capturing credentials quickly, an adversary may also perform actions such as clearing browser cookies to force users to reauthenticate to systems linux macos network devices windows",collection+credential-access
